Date,Timestamp,Zone,PersonCount
2023-10-11,19:10:36.895,Zone_09-03,0
2023-10-11,19:10:36.895,Zone_09-02,0
2023-10-11,19:10:36.895,Zone_09-01,0
2023-10-11,19:10:36.893,Zone_07-01,0
2023-10-11,19:10:36.893,Zone_07-02,0
2023-10-11,19:10:36.893,Zone_07-03,0
2023-10-11,19:10:36.893,Zone_07-04,0
2023-10-11,19:10:36.893,Zone_05-03,0
2023-10-11,19:10:36.893,Zone_05-04,0
2023-10-11,19:10:36.893,Zone_05-05,0
2023-10-11,19:10:36.893,Zone_05-06,0
2023-10-11,19:10:36.893,Zone_05-01,0
2023-10-11,19:10:36.893,Zone_05-02,0
2023-10-11,19:10:36.885,Zone_03-01,0
2023-10-11,19:10:36.885,Zone_03-02,0
2023-10-11,19:10:36.885,Zone_03-03,0
2023-10-11,19:10:36.893,Zone_02-01,0
2023-10-11,19:10:36.893,Zone_02-03,0
2023-10-11,19:10:36.893,Zone_02-02,0
2023-10-11,19:10:36.893,Zone_02-05,0
2023-10-11,19:10:36.893,Zone_02-04,0
2023-10-11,19:10:36.898,Zone_04-01,0
2023-10-11,19:10:36.898,Zone_04-06,0
2023-10-11,19:10:36.898,Zone_04-02,0
2023-10-11,19:10:36.898,Zone_04-03,0
2023-10-11,19:10:36.898,Zone_04-04,0
2023-10-11,19:10:36.898,Zone_04-05,0
2023-10-11,19:10:36.883,Zone_06-05,0
2023-10-11,19:10:36.883,Zone_06-04,0
2023-10-11,19:10:36.883,Zone_06-01,0
2023-10-11,19:10:36.883,Zone_06-03,0
2023-10-11,19:10:36.883,Zone_06-02,0
2023-10-11,19:10:36.884,Zone_14-01,0
2023-10-11,19:10:36.884,Zone_14-02,0
2023-10-11,19:10:36.884,Zone_14-03,0
2023-10-11,19:10:36.884,Zone_14-04,0
2023-10-11,19:10:36.884,Zone_14-05,0
2023-10-11,19:10:36.884,Zone_14-06,0
2023-10-11,19:10:36.884,Zone_14-07,0
2023-10-11,19:10:36.890,Zone_13-06,0
2023-10-11,19:10:36.890,Zone_13-05,0
2023-10-11,19:10:36.890,Zone_13-04,0
2023-10-11,19:10:36.890,Zone_13-03,0
2023-10-11,19:10:36.890,Zone_13-02,0
2023-10-11,19:10:36.890,Zone_13-01,0
2023-10-11,19:10:36.902,Zone_08-01,0
2023-10-11,19:10:36.902,Zone_08-02,0
2023-10-11,19:10:36.890,Zone_12-05,0
2023-10-11,19:10:36.890,Zone_12-03,0
2023-10-11,19:10:36.890,Zone_12-04,0
2023-10-11,19:10:36.890,Zone_12-01,0
2023-10-11,19:10:36.890,Zone_12-02,0
2023-10-11,19:10:36.896,Zone_10-03,0
2023-10-11,19:10:36.896,Zone_10-04,0
2023-10-11,19:10:36.896,Zone_10-01,0
2023-10-11,19:10:36.896,Zone_10-02,0
2023-10-11,19:10:36.896,Zone_10-06,0
2023-10-11,19:10:36.896,Zone_10-05,0
2023-10-11,19:10:36.896,Zone_10-07,0
2023-10-11,19:10:36.890,Zone_01-06,0
2023-10-11,19:10:36.890,Zone_01-05,0
2023-10-11,19:10:36.890,Zone_01-04,0
2023-10-11,19:10:36.890,Zone_01-03,0
2023-10-11,19:10:36.890,Zone_01-02,0
