Date,Timestamp,Zone,PersonCount
2023-10-11,20:04:36.493,Zone_07-04,0
2023-10-11,20:04:36.486,Zone_05-03,0
2023-10-11,20:04:36.486,Zone_05-04,0
2023-10-11,20:04:36.486,Zone_05-05,0
2023-10-11,20:04:36.486,Zone_05-06,0
2023-10-11,20:04:36.486,Zone_05-01,0
2023-10-11,20:04:36.486,Zone_05-02,0
2023-10-11,20:04:36.485,Zone_03-01,0
2023-10-11,20:04:36.485,Zone_03-02,0
2023-10-11,20:04:36.485,Zone_03-03,0
2023-10-11,20:04:36.494,Zone_02-01,0
2023-10-11,20:04:36.494,Zone_02-03,0
2023-10-11,20:04:36.494,Zone_02-02,0
2023-10-11,20:04:36.494,Zone_02-05,0
2023-10-11,20:04:36.494,Zone_02-04,0
2023-10-11,20:04:36.493,Zone_04-01,0
2023-10-11,20:04:36.493,Zone_04-06,0
2023-10-11,20:04:36.493,Zone_04-02,0
2023-10-11,20:04:36.493,Zone_04-03,0
2023-10-11,20:04:36.493,Zone_04-04,0
2023-10-11,20:04:36.493,Zone_04-05,0
2023-10-11,20:04:36.485,Zone_06-05,0
2023-10-11,20:04:36.485,Zone_06-04,0
2023-10-11,20:04:36.485,Zone_06-01,0
2023-10-11,20:04:36.485,Zone_06-03,0
2023-10-11,20:04:36.485,Zone_06-02,0
2023-10-11,20:04:36.486,Zone_14-01,0
2023-10-11,20:04:36.486,Zone_14-02,0
2023-10-11,20:04:36.486,Zone_14-03,0
2023-10-11,20:04:36.486,Zone_14-04,0
2023-10-11,20:04:36.486,Zone_14-05,0
2023-10-11,20:04:36.486,Zone_14-06,0
2023-10-11,20:04:36.486,Zone_14-07,0
2023-10-11,20:04:36.493,Zone_13-06,0
2023-10-11,20:04:36.493,Zone_13-05,0
2023-10-11,20:04:36.493,Zone_13-04,0
2023-10-11,20:04:36.493,Zone_13-03,0
2023-10-11,20:04:36.493,Zone_13-02,0
2023-10-11,20:04:36.493,Zone_13-01,0
2023-10-11,20:04:36.485,Zone_08-01,0
2023-10-11,20:04:36.485,Zone_08-02,0
2023-10-11,20:04:36.494,Zone_12-05,0
2023-10-11,20:04:36.494,Zone_12-03,0
2023-10-11,20:04:36.494,Zone_12-04,0
2023-10-11,20:04:36.494,Zone_12-01,0
2023-10-11,20:04:36.494,Zone_12-02,0
2023-10-11,20:04:36.494,Zone_01-06,0
2023-10-11,20:04:36.494,Zone_01-05,0
2023-10-11,20:04:36.494,Zone_01-04,0
2023-10-11,20:04:36.494,Zone_01-03,0
2023-10-11,20:04:36.494,Zone_01-02,0
2023-10-11,20:04:36.494,Zone_01-01,0
2023-10-11,20:04:36.494,Zone_01-07,0
2023-10-11,20:04:36.494,Zone_01-08,0
2023-10-11,20:04:37.677,Zone_09-04,0
2023-10-11,20:04:37.677,Zone_09-03,0
2023-10-11,20:04:37.677,Zone_09-02,0
2023-10-11,20:04:37.677,Zone_09-01,0
2023-10-11,20:04:37.667,Zone_07-01,0
2023-10-11,20:04:37.667,Zone_07-02,0
2023-10-11,20:04:37.667,Zone_07-03,0
2023-10-11,20:04:37.667,Zone_07-04,0
2023-10-11,20:04:37.677,Zone_05-03,0
2023-10-11,20:04:37.677,Zone_05-04,0
2023-10-11,20:04:37.677,Zone_05-05,0
2023-10-11,20:04:37.677,Zone_05-06,0
2023-10-11,20:04:37.677,Zone_05-01,0
2023-10-11,20:04:37.677,Zone_05-02,0
2023-10-11,20:04:37.683,Zone_03-01,0
2023-10-11,20:04:37.683,Zone_03-02,0
2023-10-11,20:04:37.683,Zone_03-03,0
2023-10-11,20:04:37.672,Zone_02-01,0
2023-10-11,20:04:37.672,Zone_02-03,0
2023-10-11,20:04:37.672,Zone_02-02,0
2023-10-11,20:04:37.672,Zone_02-05,0
2023-10-11,20:04:37.672,Zone_02-04,0
2023-10-11,20:04:37.679,Zone_04-01,0
2023-10-11,20:04:37.679,Zone_04-06,0
2023-10-11,20:04:37.679,Zone_04-02,0
2023-10-11,20:04:37.679,Zone_04-03,0
2023-10-11,20:04:37.679,Zone_04-04,0
2023-10-11,20:04:37.679,Zone_04-05,0
2023-10-11,20:04:37.670,Zone_06-05,0
2023-10-11,20:04:37.670,Zone_06-04,0
2023-10-11,20:04:37.670,Zone_06-01,0
2023-10-11,20:04:37.670,Zone_06-03,0
2023-10-11,20:04:37.670,Zone_06-02,0
2023-10-11,20:04:37.683,Zone_14-01,0
2023-10-11,20:04:37.683,Zone_14-02,0
2023-10-11,20:04:37.683,Zone_14-03,0
2023-10-11,20:04:37.683,Zone_14-04,0
2023-10-11,20:04:37.683,Zone_14-05,0
2023-10-11,20:04:37.683,Zone_14-06,0
2023-10-11,20:04:37.683,Zone_14-07,0
2023-10-11,20:04:37.674,Zone_13-06,0
2023-10-11,20:04:37.674,Zone_13-05,0
2023-10-11,20:04:37.674,Zone_13-04,0
2023-10-11,20:04:37.674,Zone_13-03,0
2023-10-11,20:04:37.674,Zone_13-02,0
2023-10-11,20:04:37.674,Zone_13-01,0
2023-10-11,20:04:37.674,Zone_08-01,0
2023-10-11,20:04:37.674,Zone_08-02,0
2023-10-11,20:04:37.674,Zone_12-05,0
2023-10-11,20:04:37.674,Zone_12-03,0
2023-10-11,20:04:37.674,Zone_12-04,0
2023-10-11,20:04:37.674,Zone_12-01,0
2023-10-11,20:04:37.674,Zone_12-02,0
2023-10-11,20:04:37.677,Zone_01-06,0
2023-10-11,20:04:37.677,Zone_01-05,0
2023-10-11,20:04:37.677,Zone_01-04,0
2023-10-11,20:04:37.677,Zone_01-03,0
2023-10-11,20:04:37.677,Zone_01-02,0
2023-10-11,20:04:37.677,Zone_01-01,0
2023-10-11,20:04:37.677,Zone_01-07,0
2023-10-11,20:04:37.677,Zone_01-08,0
